IID,POOL,cluster
SAMEA110189749,Elite_spring,0
SAMEA110190007,Elite_spring,0
SAMEA110189858,Elite_spring,0
SAMEA110189859,Elite_spring,0
SAMEA110189802,Elite_spring,0
SAMEA110189836,Elite_spring,0
SAMEA110189837,Elite_spring,0
SAMEA110189750,Elite_spring,0
SAMEA110189751,Elite_spring,0
SAMEA110189752,Elite_spring,0
SAMEA110189838,Elite_spring,0
SAMEA110189839,Elite_spring,0
SAMEA110189753,Elite_spring,0
SAMEA110189840,Elite_spring,0
SAMEA110189841,Elite_spring,0
SAMEA110189754,Elite_spring,0
SAMEA110189742,Elite_spring,0
SAMEA110189822,Elite_spring,0
SAMEA110189736,Elite_spring,0
SAMEA110189755,Elite_spring,0
SAMEA110189823,Elite_spring,0
SAMEA110189737,Elite_spring,0
SAMEA110189738,Elite_spring,0
SAMEA110189739,Elite_spring,0
SAMEA110189740,Elite_spring,0
SAMEA110189803,Elite_spring,0
SAMEA110189741,Elite_spring,0
SAMEA110189804,Elite_spring,0
SAMEA110189756,Elite_spring,0
SAMEA110189757,Elite_spring,0
SAMEA110189758,Elite_spring,0
SAMEA110189759,Elite_spring,0
SAMEA110189760,Elite_spring,0
SAMEA110189824,Elite_spring,0
SAMEA110189761,Elite_spring,0
SAMEA110189781,Elite_spring,0
SAMEA110189762,Elite_spring,0
SAMEA110189805,Elite_spring,0
SAMEA110189825,Elite_spring,0
SAMEA110189743,Elite_spring,0
SAMEA110189735,Elite_spring,0
SAMEA110189806,Elite_spring,0
SAMEA110189826,Elite_spring,0
SAMEA110189807,Elite_spring,0
SAMEA110189763,Elite_spring,0
SAMEA110189744,Elite_spring,0
SAMEA110189808,Elite_spring,0
SAMEA110189827,Elite_spring,0
SAMEA110189842,Elite_spring,0
SAMEA110189943,Elite_spring,0
SAMEA110189845,Elite_spring,0
SAMEA110189809,Elite_spring,0
SAMEA110189810,Elite_spring,0
SAMEA110189764,Elite_spring,0
SAMEA110189745,Elite_spring,0
SAMEA110189828,Elite_spring,0
SAMEA110189765,Elite_spring,0
SAMEA110189766,Elite_spring,0
SAMEA110189782,Elite_spring,0
SAMEA110189811,Elite_spring,0
SAMEA110189767,Elite_spring,0
SAMEA110189768,Elite_spring,0
SAMEA110189812,Elite_spring,0
SAMEA110189783,Elite_spring,0
SAMEA110189769,Elite_spring,0
SAMEA110189784,Elite_spring,0
SAMEA110189785,Elite_spring,0
SAMEA110189813,Elite_spring,0
SAMEA110189846,Elite_spring,0
SAMEA110189770,Elite_spring,0
SAMEA110189829,Elite_spring,0
SAMEA110189734,Elite_spring,0
SAMEA110189847,Elite_spring,0
SAMEA110189814,Elite_spring,0
SAMEA110189746,Elite_spring,0
SAMEA110189787,Elite_spring,0
SAMEA110189771,Elite_spring,0
SAMEA110189843,Elite_spring,0
SAMEA110189848,Elite_spring,0
SAMEA110189747,Elite_spring,0
SAMEA110189788,Elite_spring,0
SAMEA110189815,Elite_spring,0
SAMEA110189849,Elite_spring,0
SAMEA110189789,Elite_spring,0
SAMEA110189790,Elite_spring,0
SAMEA110189850,Elite_spring,0
SAMEA110189772,Elite_spring,0
SAMEA110189773,Elite_spring,0
SAMEA110189791,Elite_spring,0
SAMEA110189830,Elite_spring,0
SAMEA110189792,Elite_spring,0
SAMEA110190015,Elite_spring,0
SAMEA110189793,Elite_spring,0
SAMEA110189831,Elite_spring,0
SAMEA110189915,Elite_spring,0
SAMEA110189851,Elite_spring,0
SAMEA110189832,Elite_spring,0
SAMEA110189852,Elite_spring,0
SAMEA110189816,Elite_spring,0
SAMEA110189794,Elite_spring,0
SAMEA110189817,Elite_spring,0
SAMEA110189833,Elite_spring,0
SAMEA110189853,Elite_spring,0
SAMEA110189774,Elite_spring,0
SAMEA110189854,Elite_spring,0
SAMEA110189795,Elite_spring,0
SAMEA110189818,Elite_spring,0
SAMEA110189819,Elite_spring,0
SAMEA110189775,Elite_spring,0
SAMEA110189844,Elite_spring,0
SAMEA110189914,Elite_spring,0
SAMEA110189855,Elite_spring,0
SAMEA110189748,Elite_spring,0
SAMEA110189796,Elite_spring,0
SAMEA110189797,Elite_spring,0
SAMEA110189776,Elite_spring,0
SAMEA110189777,Elite_spring,0
SAMEA110189778,Elite_spring,0
SAMEA110189798,Elite_spring,0
SAMEA110189799,Elite_spring,0
SAMEA110189834,Elite_spring,0
SAMEA110189856,Elite_spring,0
SAMEA110189779,Elite_spring,0
SAMEA110189800,Elite_spring,0
SAMEA110189857,Elite_spring,0
SAMEA110189801,Elite_spring,0
SAMEA110189780,Elite_spring,0
SAMEA110189835,Elite_spring,0
SAMEA110189983,Elite_winter,0
SAMEA110189984,Elite_winter,0
SAMEA110189892,Elite_winter,0
SAMEA110189928,Elite_winter,0
SAMEA110189893,Elite_winter,0
SAMEA110189963,Elite_winter,0
SAMEA110189964,Elite_winter,0
SAMEA110189985,Elite_winter,0
SAMEA110189965,Elite_winter,0
SAMEA110189899,Elite_winter,0
SAMEA110189900,Elite_winter,0
SAMEA110189929,Elite_winter,0
SAMEA110189986,Elite_winter,0
SAMEA110189889,Elite_winter,0
SAMEA110189890,Elite_winter,0
SAMEA110189868,Elite_winter,0
SAMEA110189966,Elite_winter,0
SAMEA110189982,Elite_winter,0
SAMEA110189930,Elite_winter,0
SAMEA110189891,Elite_winter,0
SAMEA110189944,Elite_winter,0
SAMEA110189945,Elite_winter,0
SAMEA110189987,Elite_winter,0
SAMEA110189887,Elite_winter,0
SAMEA110189946,Elite_winter,0
SAMEA110189947,Elite_winter,0
SAMEA110189948,Elite_winter,0
SAMEA110189949,Elite_winter,0
SAMEA110189936,Elite_winter,0
SAMEA110189997,Elite_winter,0
SAMEA110189950,Elite_winter,0
SAMEA110189882,Elite_winter,0
SAMEA110190040,Elite_winter,0
SAMEA110189888,Elite_winter,0
SAMEA110189967,Elite_winter,0
SAMEA110189998,Elite_winter,0
SAMEA110190034,Elite_winter,0
SAMEA110189988,Elite_winter,0
SAMEA110190029,Elite_winter,0
SAMEA110189937,Elite_winter,0
SAMEA110189894,Elite_winter,0
SAMEA110190041,Elite_winter,0
SAMEA110189883,Elite_winter,0
SAMEA110189884,Elite_winter,0
SAMEA110189931,Elite_winter,0
SAMEA110189901,Elite_winter,0
SAMEA110190030,Elite_winter,0
SAMEA110189968,Elite_winter,0
SAMEA110189932,Elite_winter,0
SAMEA110189999,Elite_winter,0
SAMEA110190000,Elite_winter,0
SAMEA110189933,Elite_winter,0
SAMEA110189895,Elite_winter,0
SAMEA110190039,Elite_winter,0
SAMEA110190010,Elite_winter,0
SAMEA110189989,Elite_winter,0
SAMEA110190031,Elite_winter,0
SAMEA110189902,Elite_winter,0
SAMEA110190027,Elite_winter,0
SAMEA110189951,Elite_winter,0
SAMEA110189903,Elite_winter,0
SAMEA110190038,Elite_winter,0
SAMEA110190037,Elite_winter,0
SAMEA110189938,Elite_winter,0
SAMEA110189939,Elite_winter,0
SAMEA110189869,Elite_winter,0
SAMEA110189990,Elite_winter,0
SAMEA110189940,Elite_winter,0
SAMEA110189870,Elite_winter,0
SAMEA110189969,Elite_winter,0
SAMEA110189904,Elite_winter,0
SAMEA110189905,Elite_winter,0
SAMEA110189941,Elite_winter,0
SAMEA110190001,Elite_winter,0
SAMEA110189906,Elite_winter,0
SAMEA110189970,Elite_winter,0
SAMEA110189907,Elite_winter,0
SAMEA110189908,Elite_winter,0
SAMEA110189909,Elite_winter,0
SAMEA110189871,Elite_winter,0
SAMEA110189971,Elite_winter,0
SAMEA110189910,Elite_winter,0
SAMEA110189952,Elite_winter,0
SAMEA110189911,Elite_winter,0
SAMEA110190022,Elite_winter,0
SAMEA110189972,Elite_winter,0
SAMEA110189973,Elite_winter,0
SAMEA110189974,Elite_winter,0
SAMEA110189912,Elite_winter,0
SAMEA110189975,Elite_winter,0
SAMEA110190011,Elite_winter,0
SAMEA110190023,Elite_winter,0
SAMEA110189913,Elite_winter,0
SAMEA110190008,Elite_winter,0
SAMEA110189976,Elite_winter,0
SAMEA110189872,Elite_winter,0
SAMEA110190024,Elite_winter,0
SAMEA110190025,Elite_winter,0
SAMEA110190002,Elite_winter,0
SAMEA110189873,Elite_winter,0
SAMEA110190012,Elite_winter,0
SAMEA110189874,Elite_winter,0
SAMEA110189977,Elite_winter,0
SAMEA110190028,Elite_winter,0
