trait,model,fold,n_train,n_test,pearson_r,rmse,mae,r2,best_params,best_inner_r2
blumeria_graminis,svr_linear,1,888,222,0.5272918934076157,1.2871511517973855,0.7011681032660919,-0.16772655146674031,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.5077493652237796
blumeria_graminis,svr_linear,2,888,222,0.6669044524472676,0.8758002927771944,0.6716349741563926,0.422962805952129,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.43297174154374535
blumeria_graminis,svr_linear,3,888,222,0.7243518557049067,0.8416932696051637,0.640076573722228,0.5100972006179366,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.44926237995382623
blumeria_graminis,svr_linear,4,888,222,0.7470295336504253,0.7443846888513985,0.5964047420829278,0.554718238068984,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.43741327650686723
blumeria_graminis,svr_linear,5,888,222,0.6856302941213112,0.8357618466678833,0.645832651087218,0.46989588117042713,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.4677119648438064
heading_date,svr_linear,1,888,222,0.7744165091006376,19.905748480461437,12.126268487572693,0.5897804418157273,"{""model__C"": 1, ""model__epsilon"": 0.1}",0.5007169537870322
heading_date,svr_linear,2,888,222,0.730830609712234,22.18269140727203,14.237979146126989,0.5036748502975323,"{""model__C"": 1, ""model__epsilon"": 0.5}",0.5382327922735135
heading_date,svr_linear,3,888,222,0.7333970686842826,22.299757172425913,14.224769150286328,0.5097223431404594,"{""model__C"": 1, ""model__epsilon"": 0.1}",0.5367915197134129
heading_date,svr_linear,4,888,222,0.721425420539493,24.164894984619604,15.971345933235837,0.4286514522745434,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.5425578268063256
heading_date,svr_linear,5,888,222,0.7831440650380168,20.02956589602387,12.571897807366462,0.602482914411844,"{""model__C"": 1, ""model__epsilon"": 0.5}",0.5279013979298125
lodging,svr_linear,1,888,222,0.8807389506025057,0.8086693689570115,0.6114372840199697,0.7710747922083969,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.7056629365859282
lodging,svr_linear,2,888,222,0.8260616879744609,0.8669589616910799,0.6481248969783845,0.6800308687010657,"{""model__C"": 0.1, ""model__epsilon"": 0.01}",0.724570863484546
lodging,svr_linear,3,888,222,0.8509072955589045,0.8380480494103549,0.635350101690834,0.7212827871351126,"{""model__C"": 0.1, ""model__epsilon"": 0.1}",0.7268653653694649
lodging,svr_linear,4,888,222,0.8451539912211528,0.8547363972977858,0.6577535220688139,0.7122439889390677,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.7042417569851631
lodging,svr_linear,5,888,222,0.8425989424406308,0.8075713472977496,0.6276560898677039,0.7074591556923548,"{""model__C"": 0.1, ""model__epsilon"": 0.1}",0.7255806076766196
plant_height,svr_linear,1,888,222,0.7493223378653078,9.420616803845347,6.706383307490667,0.5510365490127145,"{""model__C"": 1, ""model__epsilon"": 0.5}",0.554880585477424
plant_height,svr_linear,2,888,222,0.7529926608091402,9.093614709872735,6.962863770164005,0.563240357044262,"{""model__C"": 0.1, ""model__epsilon"": 0.01}",0.5538735953823305
plant_height,svr_linear,3,888,222,0.7913367656786013,8.767442545432521,6.659854787500112,0.618738073220455,"{""model__C"": 0.1, ""model__epsilon"": 0.1}",0.54780159077237
plant_height,svr_linear,4,888,222,0.7442306384469461,9.892416988662251,7.247303273436241,0.5238714190597572,"{""model__C"": 0.1, ""model__epsilon"": 0.1}",0.5663835683278499
plant_height,svr_linear,5,888,222,0.7191252525834269,10.334873137436183,7.42814216567102,0.5157846845019101,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.5729419131872292
puccinia_hordei,svr_linear,1,888,222,0.6322784359507214,0.9039938806776099,0.6954544264081518,0.38499628330186,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.393056199280786
puccinia_hordei,svr_linear,2,888,222,0.42853032415132103,1.1683786581843156,0.7168454108676751,0.0038704171213264082,"{""model__C"": 0.1, ""model__epsilon"": 0.1}",0.39414555970631476
puccinia_hordei,svr_linear,3,888,222,0.6568452895837982,0.9342030300354175,0.7301252684368121,0.42963184890893813,"{""model__C"": 0.1, ""model__epsilon"": 0.1}",0.36870382766028004
puccinia_hordei,svr_linear,4,888,222,0.627880195391826,0.957236775638963,0.7616117926398458,0.3582395866660252,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.41859478837780495
puccinia_hordei,svr_linear,5,888,222,0.6355047391471574,0.910118113648824,0.7147848422206444,0.396192761772982,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.3851653650550649
ramularia_collo_cygni,svr_linear,1,888,222,0.24615310914925964,1.4394663465514903,0.9237980066187047,-0.5867619213977535,"{""model__C"": 1, ""model__epsilon"": 0.5}",0.11787283870663072
ramularia_collo_cygni,svr_linear,2,888,222,0.3161591251518109,1.1523978987929404,0.847447437175446,-0.08853162635070166,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.08169093995313836
ramularia_collo_cygni,svr_linear,3,888,222,0.3916690593409856,1.0453284318126488,0.8325569081468108,0.15302744856304662,"{""model__C"": 0.1, ""model__epsilon"": 0.01}",0.08535192992133682
ramularia_collo_cygni,svr_linear,4,888,222,0.32551897687754483,1.0835637950225516,0.8102175997188709,0.080562040808834,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.04401059163150637
ramularia_collo_cygni,svr_linear,5,888,222,0.4180532426987549,0.9821513583042266,0.7645571855782975,0.1728085005598633,"{""model__C"": 0.1, ""model__epsilon"": 0.01}",0.03464302422968135
rhynchosporium,svr_linear,1,888,222,0.0968423636962519,0.8021036431808632,0.5811379625525096,-0.01875280063142548,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.02969270561459414
rhynchosporium,svr_linear,2,888,222,0.2960442975166747,0.860126327709131,0.5989522295687265,0.061224947327491286,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",-0.013305040037216442
rhynchosporium,svr_linear,3,888,222,0.1048451733697893,1.0238174629973062,0.6605565653583181,0.010049221744745096,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",0.02615577282958485
rhynchosporium,svr_linear,4,888,222,0.23320558721045553,1.0548126449900583,0.6774805524261261,0.03282593927241273,"{""model__C"": 100, ""model__epsilon"": 0.5}",0.006785826727936965
rhynchosporium,svr_linear,5,888,222,0.13078726303712,0.7388892145402898,0.5677650736544476,-0.02069573167622729,"{""model__C"": 100, ""model__epsilon"": 0.5}",0.018800704963398956
blumeria_graminis,svr_rbf,1,888,222,0.7263082883416384,0.8195049613592481,0.6484403588442638,0.5266468950168274,"{""model__C"": 1, ""model__epsilon"": 0.5, ""model__gamma"": ""scale""}",0.5418596215336596
blumeria_graminis,svr_rbf,2,888,222,0.7262925650023745,0.7950007118269082,0.619632124053903,0.5245239235755992,"{""model__C"": 1, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}",0.5358901729097271
blumeria_graminis,svr_rbf,3,888,222,0.7398559883770469,0.8292657778311664,0.633116765694194,0.5244571034980836,"{""model__C"": 1, ""model__epsilon"": 0.01, ""model__gamma"": 0.1}",0.5339414243868894
blumeria_graminis,svr_rbf,4,888,222,0.7348710566197157,0.7586781157710091,0.599746090667331,0.5374537566624009,"{""model__C"": 1, ""model__epsilon"": 0.5, ""model__gamma"": ""auto""}",0.5278818580780902
blumeria_graminis,svr_rbf,5,888,222,0.7275224874959438,0.7882816255140718,0.5973011449899127,0.5284161724862865,"{""model__C"": 1, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}",0.538095947414358
heading_date,svr_rbf,1,888,222,0.8515616942429902,16.4623625290124,8.750144685719174,0.719428431010159,"{""model__C"": 100, ""model__epsilon"": 0.5, ""model__gamma"": ""auto""}",0.5363676990391274
heading_date,svr_rbf,2,888,222,0.7459098912647253,21.362885368020216,11.910875948513652,0.5396823501566419,"{""model__C"": 100, ""model__epsilon"": 0.5, ""model__gamma"": ""auto""}",0.5965849540097162
heading_date,svr_rbf,3,888,222,0.7443576523528879,21.646239174013832,12.505322909164775,0.5380374824153809,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}",0.5843597715536348
heading_date,svr_rbf,4,888,222,0.7545770228211071,21.883392055310406,12.60768953582348,0.5314449901812776,"{""model__C"": 100, ""model__epsilon"": 0.01, ""model__gamma"": ""auto""}",0.6093284090507026
heading_date,svr_rbf,5,888,222,0.8028963059588963,19.14872486745321,10.977829710437067,0.6366773741498648,"{""model__C"": 100, ""model__epsilon"": 0.5, ""model__gamma"": 0.1}",0.5873716089337739
lodging,svr_rbf,1,888,222,0.9006537211570002,0.7419690255747335,0.5710727408726662,0.807281599769331,"{""model__C"": 1, ""model__epsilon"": 0.5, ""model__gamma"": ""scale""}",0.7357614091890204
lodging,svr_rbf,2,888,222,0.8441296638121429,0.837118606192203,0.6392613645400298,0.7016781995123602,"{""model__C"": 100, ""model__epsilon"": 0.5, ""model__gamma"": 0.01}",0.7723359894582886
lodging,svr_rbf,3,888,222,0.8733648222973188,0.7742241493479628,0.5892595803611158,0.7621192065392968,"{""model__C"": 10, ""model__epsilon"": 0.5, ""model__gamma"": 0.01}",0.7684440429728818
lodging,svr_rbf,4,888,222,0.8700537201567266,0.7857337885509358,0.5782540998541815,0.7568295114605651,"{""model__C"": 1, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}",0.7594086238750731
lodging,svr_rbf,5,888,222,0.8694711611925537,0.738656409178203,0.5581130211598868,0.7552573557448059,"{""model__C"": 1, ""model__epsilon"": 0.5, ""model__gamma"": 0.1}",0.7569935648019609
plant_height,svr_rbf,1,888,222,0.7933378796408735,8.655758155709655,6.22015255168457,0.6209796419456961,"{""model__C"": 100, ""model__epsilon"": 0.5, ""model__gamma"": 0.01}",0.5883130051986395
plant_height,svr_rbf,2,888,222,0.8056318656326756,8.154507913083629,6.187939852638446,0.6487915792025188,"{""model__C"": 100, ""model__epsilon"": 0.01, ""model__gamma"": 0.01}",0.5831040369768846
plant_height,svr_rbf,3,888,222,0.8234174932075118,8.074983169416258,6.0363991003582465,0.6765844979243664,"{""model__C"": 100, ""model__epsilon"": 0.5, ""model__gamma"": 0.01}",0.5895041568880338
plant_height,svr_rbf,4,888,222,0.7725425660476175,9.275782959511014,6.543635018604583,0.581379416067506,"{""model__C"": 10, ""model__epsilon"": 0.5, ""model__gamma"": ""auto""}",0.619780389325372
plant_height,svr_rbf,5,888,222,0.7578315615390866,9.71063935324824,7.178342465745097,0.5725120553145125,"{""model__C"": 10, ""model__epsilon"": 0.5, ""model__gamma"": ""scale""}",0.6261530127696796
puccinia_hordei,svr_rbf,1,888,222,0.6791710939211175,0.8543948762174631,0.6317693469587317,0.45063115140056553,"{""model__C"": 1, ""model__epsilon"": 0.5, ""model__gamma"": 0.1}",0.48240161699463185
