representation,trait,model,n_individuos,n_features,cv_outer,cv_inner,pearson_r,pearson_p,rmse,mae,r2,fit_time_s,best_params_mode_outer
pca50,blumeria_graminis,svr_linear,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6604393824924182,4.908891058755639e-140,0.9032512433584575,0.6523737189479009,0.39778411779492795,678.5321577999857,"{""model__C"": 0.1, ""model__epsilon"": 0.5}"
pca50,heading_date,svr_linear,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7710226742580029,2.1549397906807537e-219,20.588305802778986,12.852117955867879,0.5802172207800044,202.19961209999747,"{""model__C"": 0.1, ""model__epsilon"": 0.5}"
pca50,lodging,svr_linear,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8391176353497752,2.850553911657809e-295,0.8689320165994796,0.6271751147908566,0.6986455456442595,685.0773103000247,"{""model__C"": 0.1, ""model__epsilon"": 0.5}"
pca50,plant_height,svr_linear,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7750574765704048,3.993053633281333e-223,9.059344334226738,6.708792757690783,0.6003880379540731,175.7975380999851,"{""model__C"": 0.1, ""model__epsilon"": 0.5}"
pca50,puccinia_hordei,svr_linear,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.5635545784900253,4.870960942447032e-94,1.0420277298902239,0.7047135487132787,0.23147650887179338,602.6464956999989,"{""model__C"": 0.1, ""model__epsilon"": 0.5}"
pca50,ramularia_collo_cygni,svr_linear,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.3001729249206434,1.5129520482437845e-24,1.1253506781624276,0.8473991089433651,-0.007772926713767836,416.41138350000256,"{""model__C"": 0.1, ""model__epsilon"": 0.5}"
pca50,rhynchosporium,svr_linear,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.19008990142731513,1.7215764353798578e-10,0.9029191545133878,0.611969880506765,0.026811616622609336,795.3651468000025,"{""model__C"": 0.1, ""model__epsilon"": 0.5}"
pca50,blumeria_graminis,svr_rbf,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7293312535338877,7.439351222841981e-185,0.79708876345777,0.6233340618973234,0.5310263491463185,13.973322300007567,"{""model__C"": 1, ""model__epsilon"": 0.5, ""model__gamma"": ""auto""}"
pca50,heading_date,svr_rbf,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7811289864146505,6.85686563555285e-229,20.044619236976917,11.639806753421423,0.6020953451512892,14.152745800005505,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": 0.01}"
pca50,lodging,svr_rbf,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8662731176032064,0.0,0.790897664457907,0.6015024391561473,0.7503413588828953,13.934697399992729,"{""model__C"": 1, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}"
pca50,plant_height,svr_rbf,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7891555067592371,8.400556484844831e-237,8.824755409433171,6.4684010976644615,0.6208157409155882,13.366031499987002,"{""model__C"": 10, ""model__epsilon"": 0.5, ""model__gamma"": 0.01}"
pca50,puccinia_hordei,svr_rbf,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7070870023091229,5.923121136768727e-169,0.8424470755532053,0.6486718422633765,0.4976760925513828,13.666076199995587,"{""model__C"": 10, ""model__epsilon"": 0.5, ""model__gamma"": 0.01}"
pca50,ramularia_collo_cygni,svr_rbf,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.3073489450246894,1.0332440818535169e-25,1.0708660410314106,0.8298232604177377,0.08744882999136872,13.742032999987714,"{""model__C"": 1, ""model__epsilon"": 0.5, ""model__gamma"": 0.01}"
pca50,rhynchosporium,svr_rbf,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.1689537073280974,1.4840949950985008e-08,0.9090845861517154,0.540561111324855,0.013475734121592753,13.240270999987843,"{""model__C"": 1, ""model__epsilon"": 0.1, ""model__gamma"": 0.1}"
