trait,model,fold,n_train,n_test,pearson_r,rmse,mae,r2,best_params,best_inner_r2
blumeria_graminis,decision_tree,1,888,222,0.673891482549114,0.8853430725959069,0.697115561873021,0.4475343979961459,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10}",0.4695291709331122
blumeria_graminis,decision_tree,2,888,222,0.6686762486095136,0.8651580512392881,0.6810185544521623,0.4369012766570405,"{""model__ccp_alpha"": 0.0, ""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2}",0.46451318904577815
blumeria_graminis,decision_tree,3,888,222,0.6876529914513474,0.8849868676656296,0.6706551447967003,0.4584034806149371,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": 20, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 2}",0.45886399704185427
blumeria_graminis,decision_tree,4,888,222,0.7244102776532959,0.7695941540840469,0.602806008418372,0.524047552513097,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",0.46022977901525985
blumeria_graminis,decision_tree,5,888,222,0.641167522275333,0.8817139877031637,0.6705954748029331,0.4100006173399693,"{""model__ccp_alpha"": 0.0, ""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 20}",0.4777843750640202
heading_date,decision_tree,1,888,222,0.7425581720351477,21.129573348068075,12.722299799177325,0.5377884500074672,"{""model__ccp_alpha"": 0.0, ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",0.4580938103572145
heading_date,decision_tree,2,888,222,0.6980664885963552,22.971161265580964,13.651989213525068,0.467764659349442,"{""model__ccp_alpha"": 0.1, ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",0.5342557369395896
heading_date,decision_tree,3,888,222,0.6800228751129134,23.508596190405548,15.156302169744626,0.4551270774092008,"{""model__ccp_alpha"": 0.1, ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 20}",0.4477676152633667
heading_date,decision_tree,4,888,222,0.6572557808739516,25.200383427840197,15.24650819083108,0.3786366967267535,"{""model__ccp_alpha"": 0.1, ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 20}",0.5261828410389073
heading_date,decision_tree,5,888,222,0.7501253018123106,21.15448022486624,12.698810217702473,0.5565777881461056,"{""model__ccp_alpha"": 0.1, ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",0.46556270924046106
lodging,decision_tree,1,888,222,0.8430082461182701,0.9146185497500405,0.6848165837437986,0.7071591617190105,"{""model__ccp_alpha"": 0.001, ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 2}",0.6269176082582227
lodging,decision_tree,2,888,222,0.760439697140582,1.0105097476279064,0.7744754643899422,0.565297621840702,"{""model__ccp_alpha"": 0.001, ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 20}",0.6678263420398222
lodging,decision_tree,3,888,222,0.8125094308960905,0.9415695143529826,0.7038325627819476,0.6481717333342452,"{""model__ccp_alpha"": 0.001, ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 20}",0.677775752514127
lodging,decision_tree,4,888,222,0.8246791287754622,0.9030277847349568,0.6863972466088961,0.6788098377218686,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": 20, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 2}",0.6493484607570128
lodging,decision_tree,5,888,222,0.7943892290675656,0.9217892733104028,0.6960922814544571,0.6188569481987289,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10}",0.6495606718534566
plant_height,decision_tree,1,888,222,0.7249165067113944,9.829664449082342,7.318097392726464,0.5112016898282157,"{""model__ccp_alpha"": 0.0, ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10}",0.48316821405427146
plant_height,decision_tree,2,888,222,0.701595903837836,9.998876598561855,7.46817820346449,0.4719539231033931,"{""model__ccp_alpha"": 0.0, ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",0.4967785771688466
plant_height,decision_tree,3,888,222,0.7041116505620202,10.278563033078159,7.71703286490776,0.4759866055137052,"{""model__ccp_alpha"": 0.0, ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 20}",0.48385734757850374
plant_height,decision_tree,4,888,222,0.7170807332776246,10.17300769223197,7.387827422671885,0.496478327018549,"{""model__ccp_alpha"": 0.1, ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",0.5170867817724369
plant_height,decision_tree,5,888,222,0.7181139345851464,10.408325649842935,7.676156799606621,0.5088773481174784,"{""model__ccp_alpha"": 0.1, ""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",0.4918511967314239
puccinia_hordei,decision_tree,1,888,222,0.5621338078102993,0.9745141977700478,0.7663149210098407,0.28530112149494746,"{""model__ccp_alpha"": 0.0, ""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",0.40414824341604555
puccinia_hordei,decision_tree,2,888,222,0.6793598936912678,0.8629736895937502,0.6770626839564116,0.4565698658036872,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": 10, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",0.35164957625902415
puccinia_hordei,decision_tree,3,888,222,0.6632567973384634,0.9283711805477652,0.7225089159508645,0.4367307743682627,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 20}",0.35949252981691804
puccinia_hordei,decision_tree,4,888,222,0.6261843251596508,0.9565645197817885,0.7382205023700144,0.3591406713603881,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": 20, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 20}",0.3855809757260032
puccinia_hordei,decision_tree,5,888,222,0.6309605159586595,0.9169843443580025,0.6993152825857362,0.38704775371245903,"{""model__ccp_alpha"": 0.0, ""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",0.37002856914902066
ramularia_collo_cygni,decision_tree,1,888,222,0.10664419674205229,1.2107859838974657,0.949943152592002,-0.12264774370696108,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",0.05611660456251318
ramularia_collo_cygni,decision_tree,2,888,222,0.3155994213984351,1.1023888553693548,0.879365865469971,0.003893522443342179,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 20}",0.038734185625170246
ramularia_collo_cygni,decision_tree,3,888,222,0.29168128725228826,1.1291249531057628,0.8968632300657389,0.011793239586686433,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 20}",0.036148155698368566
ramularia_collo_cygni,decision_tree,4,888,222,0.27072783018412083,1.1033820265331478,0.8170262523634796,0.04662168584019044,"{""model__ccp_alpha"": 0.0, ""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__min_samples_split"": 2}",0.017931870635296887
ramularia_collo_cygni,decision_tree,5,888,222,0.33022401709899474,1.0204734555850832,0.8039075193238957,0.10699756243572045,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",-0.0040451803223507206
