trait,model,fold,n_train,n_test,pearson_r,rmse,mae,r2,best_params,best_inner_r2
blumeria_graminis,random_forest,1,888,222,0.7262082526049896,0.8253304349443288,0.636268246412176,0.5198932887699357,"{""model__max_depth"": 25, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.5246309348277421
blumeria_graminis,random_forest,2,888,222,0.7163406167404818,0.8110949109441553,0.636315395028799,0.5050777389878534,"{""model__max_depth"": 25, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300}",0.5324458444265842
blumeria_graminis,random_forest,3,888,222,0.7363576462959083,0.8242181653011286,0.6297370307577566,0.5302285969039552,"{""model__max_depth"": 25, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}",0.5362628140174962
blumeria_graminis,random_forest,4,888,222,0.7315175329823737,0.7621556798582811,0.6025105091270953,0.5332036782641512,"{""model__max_depth"": 15, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}",0.5240207801038242
blumeria_graminis,random_forest,5,888,222,0.726422976377193,0.7900741596302365,0.5924423560802081,0.5262689925887245,"{""model__max_depth"": 15, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300}",0.5205298030770132
heading_date,random_forest,1,888,222,0.8512304787773419,16.794905167453802,10.963224961780194,0.7079787538185434,"{""model__max_depth"": null, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300}",0.5580558792716686
heading_date,random_forest,2,888,222,0.7644813351716052,20.307427809562597,12.924197620329476,0.5840437606057794,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}",0.6200970315796742
heading_date,random_forest,3,888,222,0.7477234417018699,21.153581349264513,13.918203006832794,0.558826270241615,"{""model__max_depth"": 15, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.6125217831503913
heading_date,random_forest,4,888,222,0.7549400214851973,21.386541592382017,13.691632130655655,0.5524800248233864,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}",0.6240636623743611
heading_date,random_forest,5,888,222,0.8325775329384235,17.822886687676256,11.757508206113908,0.6852477683822229,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}",0.5917368988788374
lodging,random_forest,1,888,222,0.8940321390443358,0.7604953056137734,0.5986165810382149,0.7975374483080893,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}",0.7330005272420811
lodging,random_forest,2,888,222,0.8588348618685089,0.7906167801367502,0.6255025040786069,0.7339011136477902,"{""model__max_depth"": 25, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.7603501355142144
lodging,random_forest,3,888,222,0.8726293270564931,0.7771522185385222,0.5861094423047237,0.7603165023923657,"{""model__max_depth"": 15, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.7598343590751492
lodging,random_forest,4,888,222,0.8713165944822552,0.7852441197134069,0.5889308528315192,0.7571325044311199,"{""model__max_depth"": 25, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}",0.7504110136059311
lodging,random_forest,5,888,222,0.8632019908369057,0.7547407884406739,0.5764936773243335,0.7444826766563081,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}",0.7501636954414627
plant_height,random_forest,1,888,222,0.8130518220225471,8.352496745607764,6.202646659440966,0.6470729544918222,"{""model__max_depth"": 15, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",0.5880423058244478
plant_height,random_forest,2,888,222,0.7872340013603674,8.521771577239193,6.543961649725628,0.6164436464729135,"{""model__max_depth"": 25, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",0.6158109200538976
plant_height,random_forest,3,888,222,0.7994659291659069,8.539193974811527,6.4543982066231465,0.6383309551024887,"{""model__max_depth"": 15, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}",0.5952275362541192
plant_height,random_forest,4,888,222,0.791803081098571,8.895677801181325,6.679167527853613,0.6149851223084154,"{""model__max_depth"": 15, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}",0.6292850933642885
plant_height,random_forest,5,888,222,0.7801356524571386,9.299127707606067,6.77424405389004,0.6079760086854378,"{""model__max_depth"": 15, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.6296595790006886
puccinia_hordei,random_forest,1,888,222,0.6758854206951201,0.8590247646201595,0.6303983511404682,0.4446610594102691,"{""model__max_depth"": 25, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300}",0.49489568469062034
puccinia_hordei,random_forest,2,888,222,0.7603056650730007,0.7689969379525187,0.6124218926557535,0.568483081341383,"{""model__max_depth"": 25, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}",0.4702720890219454
puccinia_hordei,random_forest,3,888,222,0.693069341374347,0.8917324594180369,0.6893415254594678,0.48031297425118924,"{""model__max_depth"": 15, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}",0.473132979382231
puccinia_hordei,random_forest,4,888,222,0.6675762336599248,0.9093533272336022,0.712308655021496,0.42083875335163523,"{""model__max_depth"": 25, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",0.49267745446977784
puccinia_hordei,random_forest,5,888,222,0.7300024990144847,0.8099910541969702,0.633818886187645,0.521740898402409,"{""model__max_depth"": 15, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}",0.47638394612452845
ramularia_collo_cygni,random_forest,1,888,222,0.2331839308300837,1.1554252046060365,0.8681853119343134,-0.022333076553651576,"{""model__max_depth"": 15, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}",0.1346213734728332
ramularia_collo_cygni,random_forest,2,888,222,0.35780648779215074,1.0359383632797072,0.8273425368875206,0.12036202764589521,"{""model__max_depth"": 25, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}",0.09289762981654497
ramularia_collo_cygni,random_forest,3,888,222,0.390358329457435,1.0461604614080815,0.8330150783856668,0.15167861567289187,"{""model__max_depth"": 15, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}",0.09181530528819333
