representation,trait,model,n_individuos,n_features,cv_outer,cv_inner,pearson_r,pearson_p,rmse,mae,r2,fit_time_s,best_params_mode_outer
pca20,blumeria_graminis,random_forest,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7240541723135465,6.096107704500911e-181,0.8029295515140694,0.619454707481207,0.5241282176305819,548.5751344000164,"{""model__max_depth"": 25, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}"
pca20,heading_date,random_forest,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7882798296254394,6.3706925126075165e-236,19.58046944732811,12.650953185142406,0.6203096165365298,944.8232774999924,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}"
pca20,lodging,random_forest,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8725729694930571,0.0,0.7737745871963319,0.5951306115154796,0.7610346456390106,950.0930904999841,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}"
pca20,plant_height,random_forest,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7935928998807116,2.5131498220720802e-241,8.728224173384692,6.530883619506678,0.6290659254177393,713.9215786000132,"{""model__max_depth"": 15, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}"
pca20,puccinia_hordei,random_forest,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6995317096444247,6.874228373242427e-164,0.8494086881614471,0.6556578620929662,0.4893398223661851,710.0268588000035,"{""model__max_depth"": 25, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300}"
pca20,ramularia_collo_cygni,random_forest,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.3461196702291273,1.367457605080894e-32,1.0557450424350152,0.8180133967798886,0.11303795754904111,768.0995349999866,"{""model__max_depth"": 15, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}"
pca20,rhynchosporium,random_forest,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.21030536188509294,1.4616385503155932e-12,0.9065590327019848,0.5586723991181288,0.01894950173415444,804.2622588000086,"{""model__max_depth"": 25, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300}"
pca20,blumeria_graminis,gradient_boosting,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7214742545331185,4.626874434736915e-179,0.8064108481988688,0.6263005218643276,0.519992755778615,1600.7186831000145,"{""model__learning_rate"": 0.01, ""model__max_depth"": 4, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300, ""model__subsample"": 0.7}"
pca20,heading_date,gradient_boosting,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7835002847563028,3.4197251028876164e-231,19.746282469791527,12.3623232946652,0.613851734432324,971.2491470999958,"{""model__learning_rate"": 0.01, ""model__max_depth"": 5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500, ""model__subsample"": 0.7}"
pca20,lodging,gradient_boosting,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8685545162823342,0.0,0.7845767213563047,0.6005931117119025,0.7543160121085932,978.7726953999954,"{""model__learning_rate"": 0.01, ""model__max_depth"": 5, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500, ""model__subsample"": 0.7}"
