trait,model,fold,n_train,n_test,pearson_r,rmse,mae,r2,best_params,best_inner_r2
blumeria_graminis,ridge,1,888,222,0.7069052714460595,0.8463897014114223,0.6713318652080597,0.4950797406266749,"{""model__alpha"": 100.0}",0.49924861668026393
blumeria_graminis,ridge,2,888,222,0.7309974668654166,0.7930461858902783,0.6285823392868677,0.5268589854711594,"{""model__alpha"": 100.0}",0.49553708928869183
blumeria_graminis,ridge,3,888,222,0.7329774366473537,0.8280619341996827,0.6330535893942267,0.5258367908532611,"{""model__alpha"": 100.0}",0.4924753432275497
blumeria_graminis,ridge,4,888,222,0.7443349827436556,0.7478005960461133,0.6088605036587226,0.5506221540137556,"{""model__alpha"": 100.0}",0.5038986005389473
blumeria_graminis,ridge,5,888,222,0.7097545400207015,0.8112371285791038,0.6296161940303232,0.5005503255532674,"{""model__alpha"": 100.0}",0.5084967964364387
heading_date,ridge,1,888,222,0.8303469252314675,17.76852044505372,12.684256855150636,0.6731399289667361,"{""model__alpha"": 100.0}",0.5190489225905474
heading_date,ridge,2,888,222,0.7646153413616166,20.40796448182047,14.923632380560665,0.5799149882647376,"{""model__alpha"": 100.0}",0.5695880246745656
heading_date,ridge,3,888,222,0.7343531912108907,21.62798047497547,15.284714975030282,0.5388164886064848,"{""model__alpha"": 100.0}",0.5949759156026323
heading_date,ridge,4,888,222,0.7425245352730337,21.881304911212833,14.981706540479804,0.5315343634543708,"{""model__alpha"": 100.0}",0.5937446177730495
heading_date,ridge,5,888,222,0.8032896503866704,19.266570892144347,13.946915535819244,0.6321916574254198,"{""model__alpha"": 100.0}",0.5718935010080967
lodging,ridge,1,888,222,0.893491094078904,0.7960689768660824,0.6180857819860875,0.7781532707641649,"{""model__alpha"": 100.0}",0.7098653686321154
lodging,ridge,2,888,222,0.7656685330027854,1.0144655269826983,0.6811765626322221,0.5618875558293158,"{""model__alpha"": 10.0}",0.7503638487371873
lodging,ridge,3,888,222,0.8727010974130978,0.7801137802367915,0.6075372729137757,0.7584862560930974,"{""model__alpha"": 100.0}",0.7204388249261809
lodging,ridge,4,888,222,0.8634806993099629,0.8092459208228237,0.6254034615230032,0.7420586036539603,"{""model__alpha"": 100.0}",0.7166079025266541
lodging,ridge,5,888,222,0.86399095443358,0.7585845852959,0.5914369038801142,0.7418734161068616,"{""model__alpha"": 100.0}",0.7176253650996024
plant_height,ridge,1,888,222,0.8011157999085028,8.513992694917253,6.319757388246899,0.6332932900226494,"{""model__alpha"": 100.0}",0.5227586258512755
plant_height,ridge,2,888,222,0.7582620311198156,9.03412730766013,6.923887693269729,0.5689359391794806,"{""model__alpha"": 100.0}",0.5711096615562007
plant_height,ridge,3,888,222,0.7962969081128987,8.602436504794976,6.465724596187427,0.6329539686114739,"{""model__alpha"": 100.0}",0.5866597153927293
plant_height,ridge,4,888,222,0.7870119704947033,9.050205147840554,6.649129123361802,0.6014927100951369,"{""model__alpha"": 100.0}",0.58249258588817
plant_height,ridge,5,888,222,0.7381223410294232,10.049662595511345,7.507124242575379,0.5421416021985779,"{""model__alpha"": 100.0}",0.6121285863233904
puccinia_hordei,ridge,1,888,222,0.6796806196826926,0.8490537769171247,0.6540022274823888,0.45747824805749626,"{""model__alpha"": 100.0}",0.4402759915045403
puccinia_hordei,ridge,2,888,222,0.6567215317560169,0.8829132403182477,0.6549884025984993,0.4311671535204834,"{""model__alpha"": 100.0}",0.42362223665636267
puccinia_hordei,ridge,3,888,222,0.6808292308609202,0.9085313186363584,0.7028429275842718,0.460548345659609,"{""model__alpha"": 100.0}",0.44193114422596436
puccinia_hordei,ridge,4,888,222,0.624079768082086,0.950806713047263,0.7238044269769128,0.3668324448329987,"{""model__alpha"": 100.0}",0.4510240960026475
puccinia_hordei,ridge,5,888,222,0.6603273120592228,0.886147140890317,0.6747934867445919,0.42758042083398995,"{""model__alpha"": 100.0}",0.44543934362288096
ramularia_collo_cygni,ridge,1,888,222,0.24712366391008406,1.128942321954977,0.8797492369908056,0.023994541560620752,"{""model__alpha"": 300.0}",0.12929058079011538
ramularia_collo_cygni,ridge,2,888,222,0.37626040339556444,1.024258063196941,0.8231449502958468,0.14008619897136698,"{""model__alpha"": 300.0}",0.07984866477784362
ramularia_collo_cygni,ridge,3,888,222,0.3572203526137842,1.0625390750928785,0.8286511084948942,0.12490816685991124,"{""model__alpha"": 300.0}",0.1028342647122737
ramularia_collo_cygni,ridge,4,888,222,0.277759237945182,1.0984352743585435,0.8178979561318633,0.05515101533389011,"{""model__alpha"": 300.0}",0.09648830016390302
ramularia_collo_cygni,ridge,5,888,222,0.4750557276305928,0.966420496883964,0.7571597847701439,0.19909411601788207,"{""model__alpha"": 300.0}",0.05540058729092886
rhynchosporium,ridge,1,888,222,0.1806397046748203,0.7857734774423153,0.5259013643120917,0.02230685677883748,"{""model__alpha"": 1000.0}",0.03079679900473768
rhynchosporium,ridge,2,888,222,0.332527559189034,0.8583887093041321,0.5403603125104801,0.06501412353862646,"{""model__alpha"": 1000.0}",0.022973906407988093
rhynchosporium,ridge,3,888,222,0.15874823958829057,1.0249529296161795,0.6217737248010031,0.007852190688146354,"{""model__alpha"": 300.0}",0.06762637798220346
rhynchosporium,ridge,4,888,222,0.24975314847659214,1.0432816108070422,0.5973710108669253,0.053856325072664135,"{""model__alpha"": 300.0}",0.033456180886463883
rhynchosporium,ridge,5,888,222,0.25320909768477845,0.7156362957341235,0.523115316325575,0.042536201820918995,"{""model__alpha"": 1000.0}",0.02569088365171268
blumeria_graminis,elasticnet,1,888,222,0.7159952056160317,0.8363976889234122,0.666265857807002,0.506930993724034,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.1}",0.5085350686274569
blumeria_graminis,elasticnet,2,888,222,0.7324878038511916,0.7923032031771946,0.6315976493389489,0.5277451152552283,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.1}",0.5043460837569594
blumeria_graminis,elasticnet,3,888,222,0.7409588163891715,0.8205875863989212,0.6244851481547389,0.5343580516179225,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.1}",0.5038401599542365
blumeria_graminis,elasticnet,4,888,222,0.7494663595790174,0.7446129363886488,0.6061768292259138,0.5544451264670411,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.1}",0.5141222360147256
blumeria_graminis,elasticnet,5,888,222,0.7122918489499432,0.8100023148179982,0.6326703456340784,0.5020696296818414,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.1}",0.5168274946265684
heading_date,elasticnet,1,888,222,0.830282816033896,17.70519968932493,12.473698172170467,0.6754654065796166,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.05}",0.5136394699445682
heading_date,elasticnet,2,888,222,0.7630672735771146,20.37650335738914,14.459591229134755,0.5812092045116095,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.5}",0.5787336993828051
heading_date,elasticnet,3,888,222,0.7342703666188,21.632260891507205,15.12598189925309,0.5386339239077118,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.1}",0.5999339987408318
heading_date,elasticnet,4,888,222,0.74292082877544,21.895924531962653,14.811530495504902,0.5309081596772628,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.5}",0.6050626687098858
heading_date,elasticnet,5,888,222,0.8037884077631965,19.0921066963262,13.431466680718128,0.6388227129645869,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.5}",0.5775543823783171
