run_name,trait,representation,model,n_individuos,n_features,cv_outer,cv_inner,pearson_r,pearson_p,rmse,mae,r2,fit_time_s,best_params_mode_outer,run_path,n_configs_model,fits_por_config,fits_ejecutados_config,cv
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,pca20,svr_rbf,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7286600238296017,2.368372496493041e-184,0.7985332364094307,0.6196472968499208,0.529325074231858,26.175356899999315,"{""model__C"": 1, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}",outputs_nested5x3\10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,,,,
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,heading_date,pca20,svr_rbf,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7790985402831716,6.088988819260155e-227,20.206426866510853,11.35037255793163,0.5956453473675068,32.829372999985935,"{""model__C"": 100, ""model__epsilon"": 0.5, ""model__gamma"": ""auto""}",outputs_nested5x3\10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,,,,
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,lodging,pca20,svr_rbf,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8716079407730642,0.0,0.776363253441289,0.5871921613575761,0.7594330517798089,47.22796560000279,"{""model__C"": 1, ""model__epsilon"": 0.5, ""model__gamma"": ""scale""}",outputs_nested5x3\10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,,,,
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,plant_height,pca20,svr_rbf,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7903791176010909,4.8727249320147414e-238,8.797274213093985,6.433293797806189,0.6231737013197702,32.895191100018565,"{""model__C"": 100, ""model__epsilon"": 0.5, ""model__gamma"": 0.01}",outputs_nested5x3\10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,,,,
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,pca20,svr_rbf,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7023483306495792,9.286651611046928e-166,0.8479497043873627,0.6495527475741468,0.4910925829907417,20.296996199991558,"{""model__C"": 1, ""model__epsilon"": 0.5, ""model__gamma"": 0.1}",outputs_nested5x3\10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,,,,
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,pca20,svr_rbf,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.3617207838327954,1.2004815841365192e-35,1.0466269896979128,0.8121917032276322,0.1282924795408779,18.624296199996024,"{""model__C"": 1, ""model__epsilon"": 0.5, ""model__gamma"": 0.01}",outputs_nested5x3\10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,,,,
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,rhynchosporium,pca20,svr_linear,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.1709858783744133,9.894601454034916e-09,0.9044309524729393,0.6171784767120256,0.0235499826066417,526.2406999999948,"{""model__C"": 0.1, ""model__epsilon"": 0.5}",outputs_nested5x3\10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,,,,
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,pca50,svr_rbf,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7293312535338877,7.439351222841981e-185,0.79708876345777,0.6233340618973234,0.5310263491463185,13.973322300007569,"{""model__C"": 1, ""model__epsilon"": 0.5, ""model__gamma"": ""auto""}",outputs_nested5x3\11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,,,,
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,heading_date,pca50,svr_rbf,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7811289864146505,6.85686563555285e-229,20.04461923697692,11.639806753421423,0.6020953451512892,14.152745800005505,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": 0.01}",outputs_nested5x3\11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,,,,
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,lodging,pca50,svr_rbf,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8662731176032064,0.0,0.790897664457907,0.6015024391561473,0.7503413588828953,13.934697399992729,"{""model__C"": 1, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}",outputs_nested5x3\11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,,,,
