trait,run_name,n_models_in_run_trait
blumeria_graminis,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,3
blumeria_graminis,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,3
blumeria_graminis,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,3
blumeria_graminis,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,3
blumeria_graminis,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,3
blumeria_graminis,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,2
blumeria_graminis,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,2
blumeria_graminis,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,1
blumeria_graminis,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,1
blumeria_graminis,54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup,1
heading_date,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,3
heading_date,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,3
heading_date,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,3
heading_date,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,3
heading_date,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,3
heading_date,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,2
heading_date,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,2
heading_date,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,1
heading_date,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,1
heading_date,54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup,1
lodging,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,3
lodging,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,3
lodging,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,3
lodging,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,3
lodging,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,3
lodging,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,2
lodging,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,2
lodging,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,1
lodging,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,1
lodging,54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup,1
plant_height,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,3
plant_height,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,3
plant_height,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,3
plant_height,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,3
plant_height,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,3
plant_height,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,2
plant_height,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,2
plant_height,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,1
plant_height,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,1
plant_height,54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup,1
puccinia_hordei,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,3
puccinia_hordei,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,3
