trait,run_name,representation,model,n_individuos,n_features,cv_outer,cv_inner,pearson_r,pearson_p,rmse,mae,r2,fit_time_s,best_params_mode_outer,run_path,n_configs_model,fits_por_config,fits_ejecutados_config,cv,run_model,rank_pearson_trait,delta_pearson_to_best
blumeria_graminis,54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup,snp_direct,gblup,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7631784297985205,2.3668590705929637e-212,0.7522206688660025,0.5869377568146481,0.5823373942575759,75.79340019999654,"fit_intercept=True, grm=vanraden, jitter=1e-08, optimize_delta=True",results\snp_blocks_notebook_nested5x3_gblup,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup | gblup,1.0,0.0
blumeria_graminis,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,snp_direct,xgboost,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7486903640637232,4.8281842630515205e-200,0.7717045985656462,,0.5604206877118649,1717.856759599992,"colsample_bytree=0.1, learning_rate=0.05, max_depth=5, n_estimators=400, reg_lambda=1.0, subsample=0.7",results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",53_snp_direct_legacy::snp_blocks_notebook_nested5x3 | xgboost,2.0,0.014488065734797217
blumeria_graminis,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,pca50,random_forest,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7317775274792232,1.0611997823248258e-186,0.7933169685663618,0.6134363901078733,0.5354541804784856,1117.7758279999834,"{""model__max_depth"": 15, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}",outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3 | random_forest,5.0,0.031400902319297264
blumeria_graminis,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,pca50,svr_rbf,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7293312535338877,7.439351222841981e-185,0.79708876345777,0.6233340618973234,0.5310263491463185,13.973322300007569,"{""model__C"": 1, ""model__epsilon"": 0.5, ""model__gamma"": ""auto""}",outputs_nested5x3\11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,,,,,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3 | svr_rbf,6.0,0.03384717626463274
blumeria_graminis,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,pca20,svr_rbf,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7286600238296017,2.368372496493041e-184,0.7985332364094307,0.6196472968499208,0.529325074231858,26.175356899999315,"{""model__C"": 1, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}",outputs_nested5x3\10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,,,,,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3 | svr_rbf,7.0,0.03451840596891875
blumeria_graminis,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,pca50,elasticnet,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7275604907832016,1.5667985373701112e-183,0.8014014751422804,0.6322391660321365,0.5259377823142577,4.084526700004062,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.1}",outputs_nested5x3\45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3 | elasticnet,8.0,0.035617939015318845
blumeria_graminis,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,pca20,random_forest,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7240541723135465,6.096107704500911e-181,0.8029295515140694,0.619454707481207,0.5241282176305819,548.5751344000164,"{""model__max_depth"": 25, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",outputs_nested5x3\40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3 | random_forest,9.0,0.039124257484973946
blumeria_graminis,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,pca20,xgboost,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7142553780819896,6.531761842715894e-174,0.8160312639935893,0.6294792647146943,0.5084715450047643,22.113171500001044,"{""model__colsample_bytree"": 0.3, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 400, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.7}",outputs_nested5x3\45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3 | xgboost,14.0,0.048923051716530885
blumeria_graminis,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,pca50,decision_tree,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6788036516425163,8.876275595623305e-151,0.856458871230544,0.6636532636367104,0.4585627974540364,249.8715544999868,"{""model__ccp_alpha"": 0.0, ""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",outputs_nested5x3\21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,,,,,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3 | decision_tree,17.0,0.08437477815600414
blumeria_graminis,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,pca20,decision_tree,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.6766695403001488,1.7252889849728478e-149,0.8585135157783017,0.6644381488686377,0.4559618660366428,165.66431339998962,"{""model__ccp_alpha"": 0.01, ""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 10}",outputs_nested5x3\20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,,,,,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3 | decision_tree,18.0,0.08650888949837165
