representation,trait,model,n_individuos,n_features,cv_outer,cv_inner,pearson_r,pearson_p,rmse,mae,r2,fit_time_s,best_params_mode_outer,run_name,run_path,n_configs_model,fits_por_config,fits_ejecutados_config,cv,run_model,rank_pearson_trait,delta_pearson_to_best
snp_direct,blumeria_graminis,gblup,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7631784297985205,2.3668590705929637e-212,0.7522206688660025,0.5869377568146481,0.5823373942575759,75.79340019999654,"fit_intercept=True, grm=vanraden, jitter=1e-08, optimize_delta=True",54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup,results\snp_blocks_notebook_nested5x3_gblup,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup | gblup,1.0,0.0
snp_direct,blumeria_graminis,xgboost,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7486903640637232,4.8281842630515205e-200,0.7717045985656462,,0.5604206877118649,1717.856759599992,"colsample_bytree=0.1, learning_rate=0.05, max_depth=5, n_estimators=400, reg_lambda=1.0, subsample=0.7",53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",53_snp_direct_legacy::snp_blocks_notebook_nested5x3 | xgboost,2.0,0.014488065734797217
snp_direct,blumeria_graminis,ridge,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7483698648875703,8.841229638855309e-200,0.7723907220976844,,0.5596386791818455,418.5074123000086,alpha=1.0,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",53_snp_direct_legacy::snp_blocks_notebook_nested5x3 | ridge,3.0,0.014808564910950173
snp_direct,heading_date,xgboost,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8024063197835223,1.1902223064983716e-250,18.977351224782197,,0.6433398493062897,1705.786745099991,"colsample_bytree=0.1, learning_rate=0.05, max_depth=5, n_estimators=400, reg_lambda=1.0, subsample=0.7",53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",53_snp_direct_legacy::snp_blocks_notebook_nested5x3 | xgboost,1.0,0.0
snp_direct,heading_date,elasticnet,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8005641948500251,1.1568081659949167e-248,19.04970250486346,,0.6406151266963738,184.6162142000103,"alpha=0.1, l1_ratio=0.1",53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",53_snp_direct_legacy::snp_blocks_notebook_nested5x3 | elasticnet,2.0,0.0018421249334972245
snp_direct,heading_date,gblup,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7972507952980223,3.857790834136004e-245,19.19990061560429,12.98729048201484,0.6349256175343062,70.76490539999213,"fit_intercept=True, grm=vanraden, jitter=1e-08, optimize_delta=True",54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup,results\snp_blocks_notebook_nested5x3_gblup,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup | gblup,3.0,0.0051555244854999405
snp_direct,lodging,ridge,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8773082887245263,0.0,0.7614187900438776,,0.7686054125306541,604.4759736999986,alpha=1.0,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",53_snp_direct_legacy::snp_blocks_notebook_nested5x3 | ridge,1.0,0.0
snp_direct,lodging,xgboost,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8743518577966986,0.0,0.7691969093098011,,0.7638537369913991,1741.1159903999942,"colsample_bytree=0.1, learning_rate=0.05, max_depth=5, n_estimators=400, reg_lambda=1.0, subsample=0.7",53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",53_snp_direct_legacy::snp_blocks_notebook_nested5x3 | xgboost,2.0,0.0029564309278277134
pca50,lodging,random_forest,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8732003826219472,0.0,0.7729795255956527,0.5909392225545772,0.7615254722202864,828.2316807999741,"{""model__max_depth"": 15, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3 | random_forest,3.0,0.004107906102579051
snp_direct,plant_height,gblup,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8157712105074558,9.90205479575484e-266,8.2895698850206,6.110733144553868,0.6654130943313126,75.82588360000227,"fit_intercept=True, grm=vanraden, jitter=1e-08, optimize_delta=True",54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup,results\snp_blocks_notebook_nested5x3_gblup,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup | gblup,1.0,0.0
