representation,trait,model,n_individuos,n_features,cv_outer,cv_inner,pearson_r,pearson_p,rmse,mae,r2,fit_time_s,best_params_mode_outer,run_name,run_path,n_configs_model,fits_por_config,fits_ejecutados_config,cv,r2_norm,pearson_norm,rmse_norm_inv,score_composite,rank_trait
snp_direct,blumeria_graminis,gblup,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7631784297985205,2.3668590705929637e-212,0.7522206688660025,0.5869377568146481,0.5823373942575759,75.79340019999654,"fit_intercept=True, grm=vanraden, jitter=1e-08, optimize_delta=True",54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup,results\snp_blocks_notebook_nested5x3_gblup,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",1.0,1.0,1.0,1.0,1.0
snp_direct,blumeria_graminis,xgboost,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7486903640637232,4.8281842630515205e-200,0.7717045985656462,,0.5604206877118649,1717.856759599992,"colsample_bytree=0.1, learning_rate=0.05, max_depth=5, n_estimators=400, reg_lambda=1.0, subsample=0.7",53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",0.9463243093161381,0.9299128349356088,0.9362462902730039,0.9377441157552997,2.0
snp_direct,blumeria_graminis,ridge,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7483698648875703,8.841229638855309e-200,0.7723907220976844,,0.5596386791818455,418.5074123000086,alpha=1.0,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",0.9444091106122673,0.9283623947958957,0.934001213372566,0.9359088448377785,3.0
snp_direct,blumeria_graminis,elasticnet,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7354241942765702,1.7226705221247603e-189,0.7892584921345774,,0.5401950993594071,133.83622109997668,"alpha=0.1, l1_ratio=0.1",53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",0.8967902964369039,0.8657366882598466,0.8788078857814969,0.8807723710349996,4.0
pca50,blumeria_graminis,random_forest,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7317775274792232,1.0611997823248258e-186,0.7933169685663618,0.6134363901078733,0.5354541804784856,1117.7758279999834,"{""model__max_depth"": 15, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}",40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8851794234766405,0.8480956489079449,0.865528073528296,0.8664156436594934,5.0
pca50,blumeria_graminis,svr_rbf,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7293312535338877,7.439351222841981e-185,0.79708876345777,0.6233340618973234,0.5310263491463185,13.973322300007569,"{""model__C"": 1, ""model__epsilon"": 0.5, ""model__gamma"": ""auto""}",11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8743353258705509,0.8362616050170717,0.8531863169954235,0.8548760357541338,6.0
pca20,blumeria_graminis,svr_rbf,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7286600238296017,2.368372496493041e-184,0.7985332364094307,0.6196472968499208,0.529325074231858,26.175356899999315,"{""model__C"": 1, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}",10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8701687734788247,0.8330144781789165,0.8484598315949778,0.8509652669820922,7.0
pca50,blumeria_graminis,elasticnet,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7275604907832016,1.5667985373701112e-183,0.8014014751422804,0.6322391660321365,0.5259377823142577,4.084526700004062,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.1}",45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8618730364872353,0.8276954000129674,0.8390746170915007,0.8436422980183813,8.0
pca20,blumeria_graminis,random_forest,1110,20,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7240541723135465,6.096107704500911e-181,0.8029295515140694,0.619454707481207,0.5241282176305819,548.5751344000164,"{""model__max_depth"": 25, ""model__max_features"": 0.3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8574412741678905,0.8107333068081576,0.8340745714667468,0.8340847466837686,9.0
pca50,blumeria_graminis,gradient_boosting,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7225178857031189,8.077283347648605e-180,0.8046978840023855,0.6261375191828072,0.52202983634668,2175.324181000004,"{""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300, ""model__subsample"": 0.7}",40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,0.852302177903741,0.8033013986968738,0.8282883795691758,0.8278991065540812,10.0
