representation,trait,model,n_individuos,n_features,cv_outer,cv_inner,pearson_r,pearson_p,rmse,mae,r2,fit_time_s,best_params_mode_outer,run_name,run_path,n_configs_model,fits_por_config,fits_ejecutados_config,cv,r2_norm,pearson_norm,rmse_norm_inv,score_composite,rmse_cutoff
snp_direct,blumeria_graminis,gblup,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7631784297985205,2.3668590705929637e-212,0.7522206688660025,0.5869377568146481,0.5823373942575759,75.79340019999654,"fit_intercept=True, grm=vanraden, jitter=1e-08, optimize_delta=True",54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup,results\snp_blocks_notebook_nested5x3_gblup,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",1.0,1.0,1.0,1.0,0.7974498816956852
snp_direct,blumeria_graminis,xgboost,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7486903640637232,4.8281842630515205e-200,0.7717045985656462,,0.5604206877118649,1717.856759599992,"colsample_bytree=0.1, learning_rate=0.05, max_depth=5, n_estimators=400, reg_lambda=1.0, subsample=0.7",53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",0.9463243093161381,0.9299128349356088,0.9362462902730039,0.9377441157552997,0.7974498816956852
snp_direct,blumeria_graminis,ridge,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7483698648875703,8.841229638855309e-200,0.7723907220976844,,0.5596386791818455,418.5074123000086,alpha=1.0,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",0.9444091106122673,0.9283623947958957,0.934001213372566,0.9359088448377785,0.7974498816956852
snp_direct,blumeria_graminis,elasticnet,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7354241942765702,1.7226705221247603e-189,0.7892584921345774,,0.5401950993594071,133.83622109997668,"alpha=0.1, l1_ratio=0.1",53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",0.8967902964369039,0.8657366882598466,0.8788078857814969,0.8807723710349996,0.7974498816956852
pca50,blumeria_graminis,random_forest,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7317775274792232,1.0611997823248258e-186,0.7933169685663618,0.6134363901078733,0.5354541804784856,1117.7758279999834,"{""model__max_depth"": 15, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}",40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8851794234766405,0.8480956489079449,0.865528073528296,0.8664156436594934,0.7974498816956852
pca50,blumeria_graminis,svr_rbf,1110,50,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7293312535338877,7.439351222841981e-185,0.79708876345777,0.6233340618973234,0.5310263491463185,13.973322300007569,"{""model__C"": 1, ""model__epsilon"": 0.5, ""model__gamma"": ""auto""}",11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,outputs_nested5x3\11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,,,,,0.8743353258705509,0.8362616050170717,0.8531863169954235,0.8548760357541338,0.7974498816956852
snp_direct,heading_date,xgboost,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8024063197835223,1.1902223064983716e-250,18.977351224782197,,0.6433398493062897,1705.786745099991,"colsample_bytree=0.1, learning_rate=0.05, max_depth=5, n_estimators=400, reg_lambda=1.0, subsample=0.7",53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",1.0,1.0,1.0,1.0,19.64857609073872
snp_direct,heading_date,elasticnet,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.8005641948500251,1.1568081659949167e-248,19.04970250486346,,0.6406151266963738,184.6162142000103,"alpha=0.1, l1_ratio=0.1",53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",0.9859495491311163,0.985195107623205,0.9842761418905485,0.9853130910798382,19.64857609073872
snp_direct,heading_date,gblup,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7972507952980223,3.857790834136004e-245,19.19990061560429,12.98729048201484,0.6349256175343062,70.76490539999213,"fit_intercept=True, grm=vanraden, jitter=1e-08, optimize_delta=True",54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup,results\snp_blocks_notebook_nested5x3_gblup,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",0.9566107207825825,0.9585657933586222,0.9516340963186688,0.9563974249202156,19.64857609073872
snp_direct,heading_date,ridge,1110,61139,"KFold(5, shuffle=True, random_state=42)","KFold(3, shuffle=True, random_state=42)",0.7952181219434242,5.191628517567807e-243,19.29864377949587,,0.6311608796358437,164.90041740000015,alpha=1.0,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,results\snp_blocks_notebook_nested5x3,1.0,15.0,20.0,"NestedKFold_manual(outer=5, inner=3, random_state=42)",0.9371972712504836,0.942229490806725,0.9301745796858514,0.9378056207600537,19.64857609073872
