trait,rank_ml_trait,model,representation,run_name,pearson_r,r2,rmse
blumeria_graminis,1,xgboost,snp_direct,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,0.7486903640637232,0.5604206877118649,0.7717045985656462
blumeria_graminis,2,ridge,snp_direct,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,0.7483698648875703,0.5596386791818455,0.7723907220976844
blumeria_graminis,3,elasticnet,snp_direct,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,0.7354241942765702,0.5401950993594071,0.7892584921345774
heading_date,1,xgboost,snp_direct,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,0.8024063197835223,0.6433398493062897,18.977351224782197
heading_date,2,elasticnet,snp_direct,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,0.8005641948500251,0.6406151266963738,19.04970250486346
heading_date,3,ridge,snp_direct,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,0.7952181219434242,0.6311608796358437,19.29864377949587
lodging,1,ridge,snp_direct,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,0.8773082887245263,0.7686054125306541,0.7614187900438776
lodging,2,xgboost,snp_direct,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,0.8743518577966986,0.7638537369913991,0.7691969093098011
lodging,3,random_forest,pca50,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.8732003826219472,0.7615254722202864,0.7729795255956527
plant_height,1,elasticnet,snp_direct,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,0.8106606698220638,0.6562167497007332,8.402719838015537
plant_height,2,ridge,snp_direct,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,0.8025876862028078,0.6421389054537542,8.573038418135264
plant_height,3,xgboost,snp_direct,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,0.8019804729266251,0.6411126398951372,8.585322395628712
puccinia_hordei,1,xgboost,snp_direct,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,0.7341394465828697,0.5383113406680755,0.807653921917471
puccinia_hordei,2,ridge,snp_direct,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,0.7290973304710477,0.5311878121852935,0.8138608350226726
puccinia_hordei,3,gradient_boosting,pca50,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.7192849302824953,0.5168814637544004,0.8261854707950047
ramularia_collo_cygni,1,svr_rbf,pca20,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,0.3617207838327954,0.1282924795408779,1.0466269896979128
ramularia_collo_cygni,2,elasticnet,pca20,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,0.3575054438639063,0.1265534241945579,1.0476704792448008
ramularia_collo_cygni,3,elasticnet,pca50,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,0.348121688474148,0.1209050870153466,1.0510525178421648
rhynchosporium,1,xgboost,snp_direct,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,0.2856545604784612,0.0704011753348398,0.8824664254264136
rhynchosporium,2,ridge,snp_direct,53_snp_direct_legacy::snp_blocks_notebook_nested5x3,0.2520519458023546,0.0358490830171477,0.8987169184768824
rhynchosporium,3,random_forest,pca50,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.2179625199301687,0.0229612946329241,0.9047035457399762
