run_name,model,top1,top3
54_snp_direct_gblup_legacy::snp_blocks_notebook_nested5x3_gblup,gblup,4,6
53_snp_direct_legacy::snp_blocks_notebook_nested5x3,xgboost,2,5
53_snp_direct_legacy::snp_blocks_notebook_nested5x3,ridge,1,5
53_snp_direct_legacy::snp_blocks_notebook_nested5x3,elasticnet,0,2
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,svr_rbf,0,1
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,random_forest,0,1
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,elasticnet,0,1
10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,svr_linear,0,0
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,svr_linear,0,0
11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,svr_rbf,0,0
20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,decision_tree,0,0
21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,decision_tree,0,0
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,adaboost,0,0
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,gradient_boosting,0,0
40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,random_forest,0,0
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,adaboost,0,0
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,gradient_boosting,0,0
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,ridge,0,0
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,xgboost,0,0
45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,elasticnet,0,0
45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,ridge,0,0
45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,xgboost,0,0
