trait,model,run_a,run_b,n_paired_folds,rmse_mean_a,rmse_mean_b,statistic,p_value
blumeria_graminis,adaboost,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,5,0.8178117998817676,0.8142083525321236,4.0,0.4375
blumeria_graminis,decision_tree,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,5,0.8573592266576071,0.8559163764214848,7.0,1.0
blumeria_graminis,elasticnet,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,5,0.9224227355127045,0.8007807459412352,0.0,0.0625
blumeria_graminis,gradient_boosting,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,5,0.8057457204377361,0.8039007174678737,5.0,0.625
blumeria_graminis,random_forest,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,5,0.802574670135626,0.7927305135496701,2.0,0.1875
blumeria_graminis,ridge,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,5,0.9931048930400413,0.80530710922532,0.0,0.0625
blumeria_graminis,svr_linear,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,5,0.9169582499398052,0.8960791426785002,7.0,1.0
blumeria_graminis,svr_rbf,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,5,0.7981462384604807,0.7962140987472356,5.0,0.625
blumeria_graminis,xgboost,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,5,0.8153690357490484,0.8175340908278914,6.0,0.8125
heading_date,adaboost,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,5,21.65678630998451,21.25377258423833,2.0,0.1875
heading_date,decision_tree,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,5,22.792838891352204,23.512975297479965,0.0,0.0625
heading_date,elasticnet,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,5,20.903814534867358,20.140399033302025,1.0,0.125
heading_date,gradient_boosting,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,5,19.659141915810274,19.58468934718755,4.0,0.4375
heading_date,random_forest,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,5,19.493068521267837,19.664567687542473,1.0,0.125
heading_date,ridge,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,5,20.95817183260958,20.19046824104137,1.0,0.125
heading_date,svr_linear,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,5,21.71653158816057,20.488501333688053,0.0,0.0625
heading_date,svr_rbf,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,5,20.100720798762012,19.95583371570974,5.0,0.625
heading_date,xgboost,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,5,19.54727451393024,19.86167011392868,1.0,0.125
lodging,adaboost,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,5,0.8331746450104841,0.8339988708515296,6.0,0.8125
lodging,decision_tree,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,5,0.9383029739552577,0.9379352495342859,7.0,1.0
lodging,elasticnet,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,5,0.8587255867163567,0.7992648340005749,1.0,0.125
lodging,gradient_boosting,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,5,0.7844440619273897,0.7757917713672813,2.0,0.1875
lodging,random_forest,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,5,0.7736498424886253,0.7728105913530992,6.0,0.8125
lodging,ridge,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,5,0.8949606002066929,0.831695758040859,1.0,0.125
lodging,svr_linear,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,5,0.8351968249307964,0.8639672946852637,6.0,0.8125
lodging,svr_rbf,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,5,0.7755403957688076,0.7905152575955354,5.0,0.625
lodging,xgboost,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,5,0.7889373545868825,0.7854382132982991,7.0,1.0
plant_height,adaboost,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,5,9.579465935591548,9.652561016223094,6.0,0.8125
plant_height,decision_tree,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,5,10.137687484559454,10.48243351313521,0.0,0.0625
plant_height,elasticnet,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,5,9.383686177316283,8.993393132900337,1.0,0.125
plant_height,gradient_boosting,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,5,8.807474859821344,8.719868979932183,1.0,0.125
plant_height,random_forest,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,5,8.721653561289175,8.695332706257192,6.0,0.8125
plant_height,ridge,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,5,9.412496830807953,9.050084850144852,1.0,0.125
plant_height,svr_linear,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,5,9.501792837049807,9.042929928438742,0.0,0.0625
plant_height,svr_rbf,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,5,8.774334310193758,8.808004790581114,7.0,1.0
plant_height,xgboost,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,5,8.865166504368071,8.800931586119535,6.0,0.8125
puccinia_hordei,adaboost,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,5,0.8970422188373257,0.8844874353812042,0.0,0.0625
puccinia_hordei,decision_tree,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,5,0.9278815864102707,0.9585305796454122,1.0,0.125
puccinia_hordei,elasticnet,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,5,0.9098736622908868,0.8784738640647849,0.0,0.0625
puccinia_hordei,gradient_boosting,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,5,0.8590830734510497,0.8251366397411234,0.0,0.0625
puccinia_hordei,random_forest,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,5,0.8478197086842574,0.8293000942870975,0.0,0.0625
puccinia_hordei,ridge,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,5,0.9206528096653586,0.8954904379618622,1.0,0.125
puccinia_hordei,svr_linear,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,5,0.9747860916370261,1.0256315825272728,6.0,0.8125
puccinia_hordei,svr_rbf,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,5,0.8466877547242037,0.8412397635568316,6.0,0.8125
puccinia_hordei,xgboost,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,5,0.87094916561132,0.842888672335043,1.0,0.125
ramularia_collo_cygni,adaboost,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,5,1.0711072048202752,1.0836234605170536,1.0,0.125
ramularia_collo_cygni,decision_tree,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,5,1.1132310548981628,1.1122199684760992,7.0,1.0
ramularia_collo_cygni,elasticnet,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,5,1.0471105453071305,1.0503022996960716,5.0,0.625
ramularia_collo_cygni,gradient_boosting,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,5,1.0552625370624409,1.0619600805231522,2.0,0.1875
ramularia_collo_cygni,random_forest,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,5,1.0538893082074068,1.0594549017091164,4.0,0.4375
ramularia_collo_cygni,ridge,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,5,1.0767204900889609,1.0561190462974608,6.0,0.8125
ramularia_collo_cygni,svr_linear,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,5,1.1405815660967715,1.1222737520502712,6.0,0.8125
ramularia_collo_cygni,svr_rbf,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,5,1.045370779061671,1.0698581719209084,0.0,0.0625
ramularia_collo_cygni,xgboost,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,5,1.0721647678881427,1.0842786273839984,1.0,0.125
rhynchosporium,adaboost,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,5,0.9291711503561793,0.9115100817403142,3.0,0.3125
