trait,fold,n_components_requested,n_components_used,pca_var_explained,learning_rate,batch_size,pearson_r,r2,rmse,mae,best_epoch,best_val_loss
blumeria_graminis,1,64,64,0.2700510323047638,0.001,32,0.7202452081900608,0.5145156884861689,0.8299397570707128,0.6603714173978513,51,0.6059226393699646
blumeria_graminis,2,128,128,0.3992627263069153,0.001,32,0.7085945328041597,0.49555641891207936,0.8188596693079503,0.6428065493300155,87,0.6615758538246155
blumeria_graminis,3,128,128,0.40002763271331787,0.001,32,0.7105863144177689,0.4097276865549858,0.923900290967172,0.713579540317123,41,0.6320680975914001
blumeria_graminis,4,64,64,0.2677823007106781,0.001,32,0.717231972296052,0.45122407407993603,0.826375643330271,0.6354222555418272,67,0.7205573320388794
blumeria_graminis,5,128,128,0.40654051303863525,0.001,32,0.7033539500855964,0.4824817510671411,0.8257808039242233,0.619252644143663,140,0.5999695658683777
heading_date,1,128,128,0.40637847781181335,0.0005,32,0.8075401964209077,0.6456024041129158,18.501873628355504,12.58134446702562,142,434.8474426269531
heading_date,2,128,128,0.3992627263069153,0.0005,32,0.7721194686510445,0.5939672936010187,20.06372685301322,12.913560076876804,146,378.8083190917969
heading_date,3,128,128,0.40002763271331787,0.001,32,0.71314428248731,0.5048246007284996,22.410864684932125,15.314955737139728,65,311.8358459472656
heading_date,4,64,64,0.2677823007106781,0.0005,32,0.785468769347542,0.6090445616546467,19.989318079622183,13.501473813443571,165,338.64739990234375
heading_date,5,64,64,0.27369457483291626,0.0005,32,0.7931593751139892,0.6147249777530431,19.718735612211567,14.10901911623843,161,496.01348876953125
lodging,1,64,64,0.2700510323047638,0.001,16,0.8805856656702293,0.7281916339448793,0.881161656729148,0.6776769325002894,44,0.6855875253677368
lodging,2,64,64,0.268197625875473,0.001,16,0.8228441895280579,0.6690066176762179,0.881767635142676,0.6710478837962623,22,0.6292257905006409
lodging,3,128,128,0.40002763271331787,0.001,16,0.873244177175918,0.7583006615358128,0.7804134628531834,0.6004507681270977,47,0.6342345476150513
lodging,4,64,64,0.2677823007106781,0.001,16,0.8779948845800354,0.746353663861032,0.8024801395437564,0.6006537117399611,60,0.6186127662658691
lodging,5,64,64,0.27369457483291626,0.0005,16,0.8737827813748704,0.7470199113387218,0.7509842310994825,0.6001133803311769,46,0.6145607829093933
plant_height,1,128,128,0.40637847781181335,0.001,32,0.7811267625963347,0.5801604602864665,9.109939834714762,6.783862586493965,87,87.19738006591797
plant_height,2,64,64,0.268197625875473,0.0005,32,0.760795799741688,0.568400169423428,9.039739765085834,6.974164326985677,164,93.07672882080078
plant_height,3,64,64,0.26849693059921265,0.001,32,0.7740044302679503,0.5968033552418281,9.016119465000436,7.078036677729976,76,74.76437377929688
plant_height,4,64,64,0.2677823007106781,0.0005,32,0.8288685661426269,0.6705761403320364,8.228445801569663,6.067417041675465,156,86.77845001220703
plant_height,5,64,64,0.27369457483291626,0.0005,32,0.7588409397495377,0.5693722722239805,9.746234924865593,7.109825203010628,183,86.82510375976562
puccinia_hordei,1,128,128,0.40637847781181335,0.001,32,0.6680167683028795,0.4221226270073931,0.8762831615332161,0.6698156391178165,113,0.7972434163093567
puccinia_hordei,2,64,64,0.268197625875473,0.001,32,0.7414745877564628,0.5231492025317979,0.8083825843491754,0.6322733335666828,69,0.7875168323516846
puccinia_hordei,3,64,64,0.26849693059921265,0.001,32,0.6822502744977494,0.4499389060068235,0.9174218937478225,0.695708040181581,95,0.6710410118103027
puccinia_hordei,4,64,64,0.2677823007106781,0.001,32,0.6551932210191584,0.35187130530064525,0.9619744550442684,0.7467363664695809,180,0.8439327478408813
puccinia_hordei,5,128,128,0.40654051303863525,0.001,32,0.6312232188911362,0.3878523021932053,0.9163823426768574,0.7326530244973328,24,0.817707359790802
ramularia_collo_cygni,1,64,64,0.2700510323047638,0.001,32,0.21682743113714759,0.002039694425006733,1.1415692689207275,0.8779440430907516,76,1.2055860757827759
ramularia_collo_cygni,2,128,128,0.3992627263069153,0.001,32,0.3421646238172363,0.10472365756637214,1.045106358396068,0.8331975598593016,69,1.2035644054412842
ramularia_collo_cygni,3,64,64,0.26849693059921265,0.001,32,0.3146641874530135,0.08322578542515047,1.0875501591847596,0.8478123583235182,37,1.229789137840271
ramularia_collo_cygni,4,64,64,0.2677823007106781,0.001,32,0.21911409879412844,-0.020075820960029134,1.141325428399707,0.8880893609545253,19,1.0061150789260864
ramularia_collo_cygni,5,64,64,0.27369457483291626,0.001,32,0.4292909551973882,0.17609993662590784,0.9801953814985818,0.7682493568003714,73,1.3439894914627075
rhynchosporium,1,64,64,0.2700510323047638,0.001,32,0.15435595970282923,-0.06877631704320009,0.8215604023322176,0.4942198191677128,79,0.6990967392921448
rhynchosporium,2,128,128,0.3992627263069153,0.001,32,0.23809342145186504,0.024831610054566022,0.8766399893394327,0.49620293550663164,50,1.05466890335083
rhynchosporium,3,64,64,0.26849693059921265,0.001,32,0.12329470015271707,-0.07673720691178731,1.0677524970077419,0.7014483710130056,14,0.8133122324943542
rhynchosporium,4,64,64,0.2677823007106781,0.001,32,0.2648612716888064,0.06728453176455096,1.0358517241096983,0.6430902679761251,24,0.8039056062698364
rhynchosporium,5,64,64,0.27369457483291626,0.001,32,0.18122167452632493,-0.08386897687707262,0.7614117500619407,0.5290326954008223,23,0.9818236827850342
