trait,outer_fold,n_components_requested,n_components_used,pca_var_mean,learning_rate,batch_size,pearson_r_mean,r2_mean,rmse_mean,mae_mean
blumeria_graminis,1,64,64,0.2895723581314087,0.001,32,0.7247556062050897,0.5161441420212126,0.8020434927180076,0.6224092653205803
blumeria_graminis,2,128,128,0.44119003415107727,0.001,32,0.731316101230583,0.519786566724125,0.8050010453514368,0.6204068024416228
blumeria_graminis,3,128,128,0.44350454211235046,0.001,32,0.7188560890521357,0.4900463870426696,0.8202350438182598,0.6401702413956324
blumeria_graminis,4,64,64,0.2898187041282654,0.001,32,0.7147970471278473,0.49616109209830067,0.8340467002480917,0.6396442620872378
blumeria_graminis,5,128,128,0.4455197950204213,0.001,32,0.7167366686812322,0.49082988633270275,0.8315227783987645,0.6424614493105862
heading_date,1,128,128,0.4446377356847127,0.0005,32,0.7611285967486849,0.5787058314192093,20.637953071255932,14.23499444153932
heading_date,2,128,128,0.44119003415107727,0.0005,32,0.7994377066996673,0.6350788592203191,19.215834877137898,13.196209679852734
heading_date,3,128,128,0.44350454211235046,0.001,32,0.7917849437514075,0.6254392691383339,19.373150244965526,12.749428658872036
heading_date,4,64,64,0.2898187041282654,0.0005,32,0.7860258280026361,0.6147353947532276,19.571281171257198,13.172462566478833
heading_date,5,64,64,0.29257723689079285,0.0005,32,0.7816010898858433,0.6054920006411372,19.863659991388456,13.727497212521664
lodging,1,64,64,0.2895723581314087,0.001,16,0.8541728119342875,0.6914818426321411,0.8597245913832383,0.6691093637465357
lodging,2,64,64,0.28811798493067425,0.001,16,0.868480279140607,0.7303588567542011,0.8260918520351801,0.6273911926928941
lodging,3,128,128,0.44350454211235046,0.001,16,0.858152790812086,0.6816221574273899,0.8897940614038378,0.6830220481565407
lodging,4,64,64,0.2898187041282654,0.001,16,0.8644433871261668,0.7227271502160343,0.8293104889382277,0.6405355762522499
lodging,5,64,64,0.29257723689079285,0.0005,16,0.8598458689552047,0.7111472837150203,0.8553381883510435,0.660548690404441
plant_height,1,128,128,0.4446377356847127,0.001,32,0.774965801320775,0.595396244061599,9.076345392782265,6.880457637546299
plant_height,2,64,64,0.28811798493067425,0.0005,32,0.7897239300229414,0.6183346764565956,8.917983116592,6.6636900343336505
plant_height,3,64,64,0.2914034028848012,0.001,32,0.7750730351416584,0.5899979185575813,9.174835449261831,6.850312507904327
plant_height,4,64,64,0.2898187041282654,0.0005,32,0.7683143754718301,0.5876790146914833,9.160929148458534,6.829921395929009
plant_height,5,64,64,0.29257723689079285,0.0005,32,0.7908723957317543,0.6229310880626827,8.703864438684997,6.610385379275759
puccinia_hordei,1,128,128,0.4446377356847127,0.001,32,0.6982146586705219,0.44908962597271057,0.8863599716389113,0.6790814278899013
puccinia_hordei,2,64,64,0.28811798493067425,0.001,32,0.6825515315101368,0.4605108339682537,0.8749103312459138,0.6809133116726404
puccinia_hordei,3,64,64,0.2914034028848012,0.001,32,0.6870445190000138,0.4524940918356563,0.8666330021528469,0.673882073244533
puccinia_hordei,4,64,64,0.2898187041282654,0.001,32,0.6808543199253148,0.4505019224994807,0.8762527281906914,0.6723081729970537
puccinia_hordei,5,128,128,0.4455197950204213,0.001,32,0.6798289321218108,0.4540817102945587,0.8740141826667737,0.6823589134592195
ramularia_collo_cygni,1,64,64,0.2895723581314087,0.001,32,0.37668998987500585,0.10902389291949159,1.0504142696337204,0.8205637645211307
ramularia_collo_cygni,2,128,128,0.44119003415107727,0.001,32,0.28962350469581516,0.04738452348387948,1.0936107879104708,0.8405168823696472
ramularia_collo_cygni,3,64,64,0.2914034028848012,0.001,32,0.2906425665277938,0.021767400914858365,1.0974762290996607,0.8505500067058985
ramularia_collo_cygni,4,64,64,0.2898187041282654,0.001,32,0.3376836953982369,0.08010707311219518,1.0689645312178222,0.8432188754280409
ramularia_collo_cygni,5,64,64,0.29257723689079285,0.001,32,0.30898340443147676,0.07161349059364179,1.0862842055763975,0.843081292402637
rhynchosporium,1,64,64,0.2895723581314087,0.001,32,0.2314905394901596,-0.00809586286909362,0.9399035701737081,0.5402933218189188
rhynchosporium,2,128,128,0.44119003415107727,0.001,32,0.2457867332868705,0.041148360656070894,0.900455485764958,0.5658214432564942
rhynchosporium,3,64,64,0.2914034028848012,0.001,32,0.2707660293654865,0.053116890014238916,0.8564076336900821,0.5032940904299418
rhynchosporium,4,64,64,0.2898187041282654,0.001,32,0.20567380648424935,0.010115318488049993,0.8602174024623134,0.5180279787730526
rhynchosporium,5,64,64,0.29257723689079285,0.001,32,0.25520781187536956,0.05483802844471016,0.9278930739986452,0.5578767903618985
