model,trait,params,n_individuos,n_snps,n_configs_model,fits_por_config,fits_ejecutados_config,pearson_r,pearson_p,rmse,r2,fit_time_s,cv
xgboost,blumeria_graminis,"colsample_bytree=0.1, learning_rate=0.05, max_depth=5, n_estimators=400, reg_lambda=1.0, subsample=0.7",1110,61139,1,15,20,0.7486903640637232,4.8281842630515205e-200,0.7717045985656462,0.5604206877118649,1717.856759599992,"NestedKFold_manual(outer=5, inner=3, random_state=42)"
ridge,blumeria_graminis,alpha=1.0,1110,61139,1,15,20,0.7483698648875703,8.841229638855308e-200,0.7723907220976844,0.5596386791818455,418.5074123000086,"NestedKFold_manual(outer=5, inner=3, random_state=42)"
elasticnet,blumeria_graminis,"alpha=0.1, l1_ratio=0.1",1110,61139,1,15,20,0.7354241942765702,1.7226705221247603e-189,0.7892584921345774,0.5401950993594071,133.83622109997668,"NestedKFold_manual(outer=5, inner=3, random_state=42)"
xgboost,heading_date,"colsample_bytree=0.1, learning_rate=0.05, max_depth=5, n_estimators=400, reg_lambda=1.0, subsample=0.7",1110,61139,1,15,20,0.8024063197835223,1.1902223064983717e-250,18.977351224782193,0.6433398493062897,1705.786745099991,"NestedKFold_manual(outer=5, inner=3, random_state=42)"
elasticnet,heading_date,"alpha=0.1, l1_ratio=0.1",1110,61139,1,15,20,0.8005641948500251,1.1568081659949169e-248,19.04970250486346,0.6406151266963738,184.6162142000103,"NestedKFold_manual(outer=5, inner=3, random_state=42)"
ridge,heading_date,alpha=1.0,1110,61139,1,15,20,0.7952181219434242,5.191628517567807e-243,19.29864377949587,0.6311608796358437,164.90041740000015,"NestedKFold_manual(outer=5, inner=3, random_state=42)"
ridge,lodging,alpha=1.0,1110,61139,1,15,20,0.8773082887245263,0.0,0.7614187900438776,0.7686054125306541,604.4759736999986,"NestedKFold_manual(outer=5, inner=3, random_state=42)"
xgboost,lodging,"colsample_bytree=0.1, learning_rate=0.05, max_depth=5, n_estimators=400, reg_lambda=1.0, subsample=0.7",1110,61139,1,15,20,0.8743518577966986,0.0,0.7691969093098011,0.7638537369913991,1741.1159903999942,"NestedKFold_manual(outer=5, inner=3, random_state=42)"
elasticnet,lodging,"alpha=0.1, l1_ratio=0.1",1110,61139,1,15,20,0.8708687688128822,0.0,0.7781022777277776,0.7583541230446307,139.65002599998843,"NestedKFold_manual(outer=5, inner=3, random_state=42)"
elasticnet,plant_height,"alpha=0.1, l1_ratio=0.1",1110,61139,1,15,20,0.8106606698220638,8.01102990314925e-260,8.402719838015537,0.6562167497007332,162.28656469998532,"NestedKFold_manual(outer=5, inner=3, random_state=42)"
ridge,plant_height,alpha=1.0,1110,61139,1,15,20,0.8025876862028078,7.564804070211493e-251,8.573038418135264,0.6421389054537542,553.6492192000151,"NestedKFold_manual(outer=5, inner=3, random_state=42)"
xgboost,plant_height,"colsample_bytree=0.1, learning_rate=0.05, max_depth=5, n_estimators=400, reg_lambda=1.0, subsample=0.7",1110,61139,1,15,20,0.8019804729266251,3.443330245648311e-250,8.585322395628712,0.6411126398951372,1769.826567799988,"NestedKFold_manual(outer=5, inner=3, random_state=42)"
xgboost,puccinia_hordei,"colsample_bytree=0.1, learning_rate=0.05, max_depth=5, n_estimators=400, reg_lambda=1.0, subsample=0.7",1110,61139,1,15,20,0.7341394465828697,1.6759776188526876e-188,0.807653921917471,0.5383113406680755,1747.8644006999966,"NestedKFold_manual(outer=5, inner=3, random_state=42)"
ridge,puccinia_hordei,alpha=1.0,1110,61139,1,15,20,0.7290973304710477,1.1142232908349014e-184,0.8138608350226726,0.5311878121852935,78.09537860000273,"NestedKFold_manual(outer=5, inner=3, random_state=42)"
elasticnet,puccinia_hordei,"alpha=0.1, l1_ratio=0.1",1110,61139,1,15,20,0.7040208118256778,7.03674579330168e-167,0.8457095195387894,0.4937779798802273,77.67714129999513,"NestedKFold_manual(outer=5, inner=3, random_state=42)"
xgboost,ramularia_collo_cygni,"colsample_bytree=0.1, learning_rate=0.05, max_depth=5, n_estimators=400, reg_lambda=1.0, subsample=0.7",1110,61139,1,15,20,0.34568824622749295,1.6520273804285676e-32,1.0566170222890785,0.11157220133554613,1683.4270282999787,"NestedKFold_manual(outer=5, inner=3, random_state=42)"
ridge,ramularia_collo_cygni,alpha=1.0,1110,61139,1,15,20,0.3428604768465219,5.662179783471676e-32,1.0654794029360142,0.09660631486810045,49.93105049998849,"NestedKFold_manual(outer=5, inner=3, random_state=42)"
elasticnet,ramularia_collo_cygni,"alpha=0.1, l1_ratio=0.1",1110,61139,1,15,20,0.2778358871004204,4.006000366350447e-21,1.1143385507606063,0.011853711712511483,81.08749760000501,"NestedKFold_manual(outer=5, inner=3, random_state=42)"
xgboost,rhynchosporium,"colsample_bytree=0.1, learning_rate=0.05, max_depth=5, n_estimators=400, reg_lambda=1.0, subsample=0.7",1110,61139,1,15,20,0.2856545604784612,2.750920411498821e-22,0.8824664254264136,0.0704011753348398,1592.1469702000031,"NestedKFold_manual(outer=5, inner=3, random_state=42)"
ridge,rhynchosporium,alpha=1.0,1110,61139,1,15,20,0.2520519458023546,1.5137385927954897e-17,0.8987169184768824,0.03584908301714773,108.9596166999836,"NestedKFold_manual(outer=5, inner=3, random_state=42)"
elasticnet,rhynchosporium,"alpha=0.1, l1_ratio=0.1",1110,61139,1,15,20,0.17138450706577363,9.13300213687225e-09,0.9639143951778308,-0.10911381795101027,81.6364802000171,"NestedKFold_manual(outer=5, inner=3, random_state=42)"
