model,trait,pearson_r,pearson_p,r2,rmse,params,n_individuos,n_snps,n_configs_model,fits_por_config,fits_ejecutados_config,fit_time_s,cv,source_file
elasticnet,blumeria_graminis,0.7449571893048177,5.2425600973254036e-197,0.5490602537740206,0.781612909218072,"alpha=1.0, l1_ratio=0.05",1110,61139,16,15,245,1699.8133888000011,"NestedKFold_manual(outer=5, inner=3, random_state=42)",elasticnet_results.csv
elasticnet,heading_date,0.8015518122538496,1.0005538532017345e-249,0.642298032180191,19.005047776562524,"alpha=1.0, l1_ratio=0.1",1110,61139,16,15,245,2712.6533759999984,"NestedKFold_manual(outer=5, inner=3, random_state=42)",elasticnet_results.csv
elasticnet,lodging,0.8747844058415213,0.0,0.764418558859583,0.7682764642238677,"alpha=0.1, l1_ratio=0.05",1110,61139,16,15,245,1809.6487744999995,"NestedKFold_manual(outer=5, inner=3, random_state=42)",elasticnet_results.csv
elasticnet,plant_height,0.8108454680998166,4.9340195114309635e-260,0.6561228849355234,8.403866876875691,"alpha=0.01, l1_ratio=0.05",1110,61139,16,15,245,2303.9763607999994,"NestedKFold_manual(outer=5, inner=3, random_state=42)",elasticnet_results.csv
elasticnet,puccinia_hordei,0.7127395743046537,7.517172270300213e-173,0.5024246094288785,0.8384557533909366,"alpha=1.0, l1_ratio=0.05",1110,61139,16,15,245,1720.2143436000006,"NestedKFold_manual(outer=5, inner=3, random_state=42)",elasticnet_results.csv
elasticnet,ramularia_collo_cygni,0.3379155712980768,4.734711971479725e-31,0.1140778121255245,1.0551259949360832,"alpha=1.0, l1_ratio=0.05",1110,61139,16,15,245,1840.7373931,"NestedKFold_manual(outer=5, inner=3, random_state=42)",elasticnet_results.csv
elasticnet,rhynchosporium,0.1717645554332574,8.460075097512246e-09,0.0237984949827942,0.9043158536026856,"alpha=1.0, l1_ratio=0.1",1110,61139,16,15,245,1825.227251199998,"NestedKFold_manual(outer=5, inner=3, random_state=42)",elasticnet_results.csv
ridge,blumeria_graminis,0.7488069233473555,3.8737851323031953e-200,0.5601613594370085,0.77193219721465,alpha=1000.0,1110,61139,6,15,95,290.0881980999984,"NestedKFold_manual(outer=5, inner=3, random_state=42)",ridge_results.csv
ridge,heading_date,0.7952366671161544,4.965799379036839e-243,0.6311024385499143,19.300172615464614,alpha=0.1,1110,61139,6,15,95,274.00183650000145,"NestedKFold_manual(outer=5, inner=3, random_state=42)",ridge_results.csv
ridge,lodging,0.877441255476829,0.0,0.768754290750763,0.7611738039468808,alpha=0.1,1110,61139,6,15,95,413.5259550999999,"NestedKFold_manual(outer=5, inner=3, random_state=42)",ridge_results.csv
