representation,model,trait,pearson_r,r2,rmse,mae,source_file,notes
SNP_DIRECT,elasticnet,blumeria_graminis,0.7354241942765702,0.5401950993594071,0.7892584921345774,,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/results/snp_blocks_notebook_nested5x3/all_results.csv,
SNP_DIRECT,elasticnet,puccinia_hordei,0.7040208118256778,0.4937779798802273,0.8457095195387894,,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/results/snp_blocks_notebook_nested5x3/all_results.csv,
SNP_DIRECT,elasticnet,ramularia_collo_cygni,0.2778358871004204,0.0118537117125114,1.1143385507606065,,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/results/snp_blocks_notebook_nested5x3/all_results.csv,
SNP_DIRECT,elasticnet,rhynchosporium,0.1713845070657736,-0.1091138179510102,0.9639143951778308,,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/results/snp_blocks_notebook_nested5x3/all_results.csv,
SNP_DIRECT,elasticnet,heading_date,0.8005641948500251,0.6406151266963738,19.04970250486346,,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/results/snp_blocks_notebook_nested5x3/all_results.csv,
SNP_DIRECT,elasticnet,lodging,0.8708687688128822,0.7583541230446307,0.7781022777277776,,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/results/snp_blocks_notebook_nested5x3/all_results.csv,
SNP_DIRECT,elasticnet,plant_height,0.8106606698220638,0.6562167497007332,8.402719838015537,,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/results/snp_blocks_notebook_nested5x3/all_results.csv,
SNP_DIRECT,ridge,blumeria_graminis,0.7483698648875703,0.5596386791818455,0.7723907220976844,,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/results/snp_blocks_notebook_nested5x3/all_results.csv,
SNP_DIRECT,ridge,puccinia_hordei,0.7290973304710477,0.5311878121852935,0.8138608350226726,,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/results/snp_blocks_notebook_nested5x3/all_results.csv,
SNP_DIRECT,ridge,ramularia_collo_cygni,0.3428604768465219,0.0966063148681004,1.0654794029360142,,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/results/snp_blocks_notebook_nested5x3/all_results.csv,
SNP_DIRECT,ridge,rhynchosporium,0.2520519458023546,0.0358490830171477,0.8987169184768824,,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/results/snp_blocks_notebook_nested5x3/all_results.csv,
SNP_DIRECT,ridge,heading_date,0.7952181219434242,0.6311608796358437,19.29864377949587,,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/results/snp_blocks_notebook_nested5x3/all_results.csv,
SNP_DIRECT,ridge,lodging,0.8773082887245263,0.7686054125306541,0.7614187900438776,,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/results/snp_blocks_notebook_nested5x3/all_results.csv,
SNP_DIRECT,ridge,plant_height,0.8025876862028078,0.6421389054537542,8.573038418135264,,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/results/snp_blocks_notebook_nested5x3/all_results.csv,
SNP_DIRECT,xgboost,blumeria_graminis,0.7486903640637232,0.5604206877118649,0.7717045985656462,,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/results/snp_blocks_notebook_nested5x3/all_results.csv,
SNP_DIRECT,xgboost,puccinia_hordei,0.7341394465828697,0.5383113406680755,0.807653921917471,,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/results/snp_blocks_notebook_nested5x3/all_results.csv,
SNP_DIRECT,xgboost,ramularia_collo_cygni,0.3456882462274929,0.1115722013355461,1.0566170222890785,,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/results/snp_blocks_notebook_nested5x3/all_results.csv,
SNP_DIRECT,xgboost,rhynchosporium,0.2856545604784612,0.0704011753348398,0.8824664254264136,,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/results/snp_blocks_notebook_nested5x3/all_results.csv,
SNP_DIRECT,xgboost,heading_date,0.8024063197835223,0.6433398493062897,18.977351224782197,,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/results/snp_blocks_notebook_nested5x3/all_results.csv,
SNP_DIRECT,xgboost,lodging,0.8743518577966986,0.7638537369913991,0.7691969093098011,,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/results/snp_blocks_notebook_nested5x3/all_results.csv,
SNP_DIRECT,xgboost,plant_height,0.8019804729266251,0.6411126398951372,8.585322395628712,,C:/Users/Reyes/OneDrive/PC_REYES/Master_Big_Data_Data_Science/14MBID/2026/Code/repo/results/snp_blocks_notebook_nested5x3/all_results.csv,
